"b1-nummer","rubriek","waarde","datum","toelichting"
"00795","3000","J. van Leeuwen  Johanna (Hannie)","",""
"00795","3010","Delft","18-01-1926",""
"00795","3130","ARP (Anti-Revolutionaire Partij)","00-00-1941/11-10-1980",""
"00795","3130","CDA (Christen-Democratisch Appèl)","11-10-1980/",""
"00795","3500","voorzitter bestuur SVB (Sociale Verzekeringsbank)","01-08-1980/01-01-1995",""
"00795","3500","wethouder (van economische zaken, maatschappelijke dienstverlening en volksgezondheid) van Zoetermeer","01-05-1986/01-05-1990",""
"00795","3500","waarnemend burgemeester van Hazerswoude","16-09-1990/01-01-1991",""
"00795","3500","waarnemend burgemeester van Nootdorp","00-08-1991/01-06-1992",""
"00795","3500","lid Eerste Kamer der Staten-Generaal","13-06-1995/12-06-2007",""
"00795","3510","lid partijbestuur CDA","00-06-2007/",""
"00795","3520","secretaris ARJOS (Anti-Revolutionaire Jongeren Studieclubs), afdeling Delft","00-00-1946/00-00-1954",""
"00795","3520","secretaris ARJOS (Anti-Revolutionaire Jongeren Studieclubs), gewest Zuid-Holland","00-00-1950/00-00-1957",""
"00795","3520","vicevoorzitter ARJOS (Anti-Revolutionaire Jongeren Studieclubs)","00-00-1954/00-00-1969",""
"00795","3520","lid bestuur (later secretaris) ARP kamercentrale Dordrecht","00-00-1954/00-00-1969",""
"00928","3000","Mr. H.A.F.M.O. van Mierlo  Henricus Antonius Franciscus Maria Oliva (Hans)","",""
"00928","3010","Breda","18-08-1931",""
"00928","3020","Amsterdam","11-03-2010",""
"00928","3130","D66 (Democraten 1966)","00-00-1966/",""
"00928","3450","Nederlands recht, Katholieke Universiteit Nijmegen","00-09-1952/00-07-1960",""
"00928","3490","dienstplichtig militair, Regiment Waalhaven","00-00-1951/00-00-1952","officiersopleiding wegens ziekte afgebroken"
"00928","3500","adjunct-redacteur ""l'Indepedent"" te Perpignan","/(omstreeks: 00-00-1957)/(00-00-1960)","tijdens reis door Frankrijk"
"00928","3500","redacteur ""Algemeen Handelsblad""","00-00-1960/00-02-1967",""
"00928","3500","fractievoorzitter D'66 Tweede Kamer der Staten-Generaal","16-02-1967/01-09-1973",""
"00928","3500","lid Tweede Kamer der Staten-Generaal","23-02-1967/08-06-1977",""
"00928","3500","ambteloos","08-06-1977/11-09-1981","vervulde functies in ambtelijke commissies"
"00928","3500","minister van Defensie","11-09-1981/05-11-1982",""
"00928","3500","ambteloos","05-11-1982/13-09-1983",""
"00928","3500","lid Eerste Kamer der Staten Generaal","13-09-1983/04-06-1986",""
"00928","3500","fractievoorzitter D66 Tweede Kamer der Staten-Generaal","22-05-1986/19-08-1994",""
"00928","3500","lid Tweede Kamer der Staten-Generaal","03-06-1986/22-08-1994",""
"00928","3500","minister van Buitenlandse Zaken en viceminister-president","22-08-1994/03-08-1998",""
"00928","3500","lid Tweede Kamer der Staten-Generaal","19-05-1998/18-08-1998",""
"00928","3510","politiek leider D'66","14-09-1966/01-09-1973",""
"00928","3510","politiek leider D66","00-03-1986/15-02-1998",""
"00928","3513","minister van staat","24-10-1998/11-03-2010",""
"00928","3520","politiek leider D'66","14-09-1966/01-09-1973",""
"00928","3520","lid partijbestuur D'66","00-00-1967/00-00-1973",""
"00928","3520","lid commissie-Mansholt (PvdA/D'66/PPR) over 'Grenzen aan de groei'","00-01-1972/06-03-1972",""
"00928","3520","vicefractievoorzitter D'66 Tweede Kamer der Staten-Generaal","01-09-1973/25-05-1977",""
"00928","3520","politiek leider D66","25-01-1986/15-02-1998",""
"00928","3611","lid Raadgevende Interparlementaire Beneluxraad","00-05-1967/00-00-1977",""
"00928","3611","functies in literaire en andere culturele organisaties","00-00-1977/",""
"00928","3611","lid Adviesraad Defensie-aangelegenheden","00-00-1977/00-00-1981",""
"00928","3611","lid CONS (Commissie Ontwikkelingssamenwerking Nederland-Suriname)","00-00-1980/11-09-1981",""
"00928","3611","lid Raad van Toezicht Nederlands Instituut voor Internationale Betrekkingen ""Clingendael""","/(omstreeks: 00-10-1986)/(00-03-1991)","onbetaald"
"00928","3611","lid redactie stichting ""De Gids""","/(omstreeks: 00-10-1986)/00-08-1994","onbetaald"
"00928","3611","voorzitter jury Groot Dictee der Nederlandse Taal","","jaarlijks tv-programma"
"00928","3611","lid bestuur Dr. C.J. Roosstichting","","medeoprichter"
"00928","3611","voorzitter Nederlands Balletorkest","00-01-1999/",""
"00928","3611","regeringsvertegenwoordiger op de Conventie voor de toekomst van Europa","01-03-2002/26-09-2002",""
"00928","3611","lid bestuur theatergroep ""Orkater"" en ""De Mexicaanse Hond","00-00-2003/00-00-2010",""
"00928","3900","lid Nijmeegse studentenvereniging ""Carolus Magnus""","",""
"00928","3910","lid Comité van Aanbeveling IDFA","",""
"00928","3000","Mr. H.A.F.M.O. van Mierlo  Henricus Antonius Franciscus Maria Oliva (Hans)","",""
"00928","3010","Breda","18-08-1931",""
"00928","3020","Amsterdam","11-03-2010",""
"00928","3130","D66 (Democraten 1966)","00-00-1966/",""
"00928","3450","Nederlands recht, Katholieke Universiteit Nijmegen","00-09-1952/00-07-1960",""
"00928","3490","dienstplichtig militair, Regiment Waalhaven","00-00-1951/00-00-1952","officiersopleiding wegens ziekte afgebroken"
"00928","3500","adjunct-redacteur ""l'Indepedent"" te Perpignan","/(omstreeks: 00-00-1957)/(00-00-1960)","tijdens reis door Frankrijk"
"00928","3500","redacteur ""Algemeen Handelsblad""","00-00-1960/00-02-1967",""
"00928","3500","fractievoorzitter D'66 Tweede Kamer der Staten-Generaal","16-02-1967/01-09-1973",""
"00928","3500","lid Tweede Kamer der Staten-Generaal","23-02-1967/08-06-1977",""

